link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,VDF_alpha1,VDF_beta1
3320,North Triphammer Road,376872515,1658,1660,1,"LINESTRING (-76.4900952 42.4925643, -76.4900816 42.4922063)",1,39.82,tertiary,5,64,1,900,auto,,0.15,4.0
3321,Cascadilla Street,388553929,1661,970,1,"LINESTRING (-76.5113166 42.4442521, -76.5111683 42.4442538, -76.510756 42.4442633, -76.5106583 42.4442656, -76.5105129 42.4442691, -76.5101508 42.4442774, -76.5099614 42.4442817)",1,111.25,residential,6,30,1,600,auto,,0.15,4.0
3322,Cascadilla Street,388553929,970,1661,1,"LINESTRING (-76.5099614 42.4442817, -76.5101508 42.4442774, -76.5105129 42.4442691, -76.5106583 42.4442656, -76.510756 42.4442633, -76.5111683 42.4442538, -76.5113166 42.4442521)",1,111.25,residential,6,30,1,600,auto,,0.15,4.0
3323,North Fulton Street,388553947,1303,1662,1,"LINESTRING (-76.5085715 42.4458726, -76.5087145 42.4456668, -76.5088028 42.4454079, -76.5089307 42.44513, -76.50915 42.444875, -76.509603 42.444518)",1,176.00,trunk,2,48,2,1800,auto,,0.15,4.0
3324,North Meadow Street,388553948,1304,1531,1,"LINESTRING (-76.5067088 42.4483929, -76.5066424 42.4484673, -76.5066108 42.4485015, -76.5065165 42.4486034, -76.5062169 42.4489259)",1,71.71,trunk,2,48,2,1800,auto,,0.15,4.0
3325,North Meadow Street,388553948,1531,1304,1,"LINESTRING (-76.5062169 42.4489259, -76.5065165 42.4486034, -76.5066108 42.4485015, -76.5066424 42.4484673, -76.5067088 42.4483929)",1,71.71,trunk,2,48,3,1800,auto,,0.15,4.0
3326,North Cayuga Street,399315324,1451,1299,1,"LINESTRING (-76.4999913 42.4557452, -76.499925 42.454891, -76.4999055 42.4546211, -76.4999023 42.4545817)",1,129.58,tertiary,5,40,1,900,auto,,0.15,4.0
3327,North Cayuga Street,399315324,1663,1664,1,"LINESTRING (-76.5001303 42.4576891, -76.500112 42.457413, -76.5000597 42.4566786)",1,112.51,tertiary,5,40,1,900,auto,,0.15,4.0
3328,North Cayuga Street,399315324,1664,1451,1,"LINESTRING (-76.5000597 42.4566786, -76.50001 42.456032, -76.5000101 42.4559869, -76.4999913 42.4557452)",1,103.95,tertiary,5,40,1,900,auto,,0.15,4.0
3329,North Cayuga Street,399315324,1451,1664,1,"LINESTRING (-76.4999913 42.4557452, -76.5000101 42.4559869, -76.50001 42.456032, -76.5000597 42.4566786)",1,103.95,tertiary,5,40,1,900,auto,,0.15,4.0
3330,North Cayuga Street,399315324,1299,1451,1,"LINESTRING (-76.4999023 42.4545817, -76.4999055 42.4546211, -76.499925 42.454891, -76.4999913 42.4557452)",1,129.58,tertiary,5,40,1,900,auto,,0.15,4.0
3331,North Cayuga Street,399315324,1664,1663,1,"LINESTRING (-76.5000597 42.4566786, -76.500112 42.457413, -76.5001303 42.4576891)",1,112.51,tertiary,5,40,1,900,auto,,0.15,4.0
3332,East Falls Street,399317751,434,1590,1,"LINESTRING (-76.4978379 42.4527879, -76.4975843 42.4527949)",1,20.82,unclassified,20,30,1,600,auto,,0.15,4.0
3333,East Falls Street,399317751,1590,434,1,"LINESTRING (-76.4975843 42.4527949, -76.4978379 42.4527879)",1,20.82,unclassified,20,30,1,600,auto,,0.15,4.0
3334,Willow Avenue,399317752,1065,463,1,"LINESTRING (-76.503224 42.449769, -76.503544 42.450161, -76.503736 42.4504043, -76.503888 42.450597, -76.503908 42.450638)",1,111.83,unclassified,20,30,1,600,auto,,0.15,4.0
3335,Willow Avenue,399317752,1234,1065,1,"LINESTRING (-76.502486 42.448846, -76.5025393 42.448914, -76.5025829 42.4489672, -76.503224 42.449769)",1,119.16,unclassified,20,30,1,600,auto,,0.15,4.0
3336,Willow Avenue,399317752,463,1065,1,"LINESTRING (-76.503908 42.450638, -76.503888 42.450597, -76.503736 42.4504043, -76.503544 42.450161, -76.503224 42.449769)",1,111.83,unclassified,20,30,1,600,auto,,0.15,4.0
3337,Willow Avenue,399317752,1065,1234,1,"LINESTRING (-76.503224 42.449769, -76.5025829 42.4489672, -76.5025393 42.448914, -76.502486 42.448846)",1,119.16,unclassified,20,30,1,600,auto,,0.15,4.0
3338,Willow Avenue,399317753,1472,1234,1,"LINESTRING (-76.501742 42.447924, -76.5017901 42.4479826, -76.502486 42.448846)",1,119.32,unclassified,20,30,1,600,auto,,0.15,4.0
3339,Willow Avenue,399317753,387,1472,1,"LINESTRING (-76.500999 42.4469955, -76.5010367 42.4470426, -76.501702 42.4478734, -76.501742 42.447924)",1,119.90,unclassified,20,30,1,600,auto,,0.15,4.0
3340,Willow Avenue,399317753,1234,1472,1,"LINESTRING (-76.502486 42.448846, -76.5017901 42.4479826, -76.501742 42.447924)",1,119.32,unclassified,20,30,1,600,auto,,0.15,4.0
3341,Willow Avenue,399317753,1472,387,1,"LINESTRING (-76.501742 42.447924, -76.501702 42.4478734, -76.5010367 42.4470426, -76.500999 42.4469955)",1,119.90,unclassified,20,30,1,600,auto,,0.15,4.0
3342,Fourth Street,399317754,358,254,1,"LINESTRING (-76.505429 42.445021, -76.5054856 42.4450918, -76.505757 42.445431, -76.5057804 42.445466)",1,57.28,unclassified,20,30,1,600,auto,,0.15,4.0
3343,Fourth Street,399317754,254,358,1,"LINESTRING (-76.5057804 42.445466, -76.505757 42.445431, -76.5054856 42.4450918, -76.505429 42.445021)",1,57.28,unclassified,20,30,1,600,auto,,0.15,4.0
3344,Madison Street,399317755,903,4,1,"LINESTRING (-76.502281 42.446422, -76.5021896 42.4464624, -76.5013229 42.4468612, -76.50126 42.4468844)",1,98.32,unclassified,20,30,1,600,auto,,0.15,4.0
3345,Madison Street,399317755,586,903,1,"LINESTRING (-76.503336 42.445953, -76.5032429 42.4459944, -76.502374 42.4463807, -76.502281 42.446422)",1,101.06,unclassified,20,30,1,600,auto,,0.15,4.0
