name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,210,213440995,,-76.4587264,42.4684685,,,,,
,211,213441018,,-76.4554470,42.4684820,,,,,
,212,213441336,,-76.4821028,42.4586423,,,,,
,213,213441364,,-76.4820103,42.4605316,,,,,
,214,213441373,,-76.4826891,42.4613044,,,,,
,215,213441301,,-76.4812938,42.4563063,,,,,
,216,213421003,,-76.4621263,42.4480851,,,,,
,217,213441658,,-76.4649929,42.4484553,,,,,
,218,213441809,,-76.4827574,42.4475771,,,,,
,219,213441806,signal,-76.4826210,42.4451691,,,,,
,220,1319459686,,-76.4782372,42.4532509,,,,,
,221,767579671,,-76.4811105,42.4525796,,,,,
,222,2095822837,,-76.4766329,42.4532480,,,,,
,223,12230364534,,-76.4767469,42.4532507,,,,,
,224,6765307931,,-76.4765438,42.4532477,,,,,
,225,213449627,,-76.4735569,42.4553636,,,,,
,226,1319459483,,-76.4773612,42.4532489,,,,,
,227,213442000,,-76.4750824,42.4312890,,,,,
,228,213442010,,-76.4772020,42.4322310,,,,,
,229,213442012,signal,-76.4783196,42.4327321,,,,,
,230,213442020,,-76.4795500,42.4333530,,,,,
,231,213442050,,-76.4820490,42.4347660,,,,,
,232,213442060,,-76.4844818,42.4362246,,,,,
,233,213442062,,-76.4851315,42.4366625,,,,,
,234,213442426,,-76.4937690,42.4823770,,,,,
,235,213442432,,-76.4939300,42.4832300,,,,,
,236,213442453,,-76.5019510,42.4526490,,,,,
,237,213442462,,-76.4997770,42.4527090,,,,,
,238,213442468,,-76.4866260,42.4563830,,,,,
,239,213442475,,-76.4870020,42.4565360,,,,,
,240,213442477,,-76.4872190,42.4566780,,,,,
,241,213442485,,-76.4860390,42.4562290,,,,,
,242,213450709,,-76.4864110,42.4583230,,,,,
,243,213442496,,-76.4836840,42.4536414,,,,,
,244,213442503,,-76.4838014,42.4545741,,,,,
,245,213442507,,-76.4838550,42.4550870,,,,,
,246,213442728,,-76.5020395,42.4788196,,,,,
,247,213442759,,-76.5034930,42.4804290,,,,,
,248,213442763,,-76.4831800,42.4391370,,,,,
,249,213442782,,-76.4816400,42.4394500,,,,,
,250,213443102,,-76.4922590,42.4367500,,,,,
,251,213443108,,-76.4947360,42.4366820,,,,,
,252,213443145,,-76.5006050,42.4471690,,,,,
,253,213443155,,-76.5007395,42.4483390,,,,,
,254,213443780,,-76.5057804,42.4454660,,,,,
,255,213443791,,-76.5047490,42.4459530,,,,,
,256,213444223,,-76.5112905,42.4943740,,,,,
,257,213444255,,-76.5103200,42.4973100,,,,,
,258,213444425,,-76.4698923,42.4692156,,,,,
,259,213444455,,-76.4737080,42.4710050,,,,,
,260,213444558,,-76.4905170,42.4320454,,,,,
,261,213444561,,-76.4906057,42.4325329,,,,,
,262,1312150757,,-76.5071829,42.4489744,,,,,
,263,11225658185,,-76.5103408,42.4459484,,,,,
,264,213437676,signal,-76.5017660,42.4403180,,,,,
,265,213444982,signal,-76.5017210,42.4394590,,,,,
,266,213445524,,-76.5369966,42.4698603,,,,,
