o_zone_id,o_zone_name,d_zone_id,d_zone_name,dist_km,geometry
70,H0,69,G9,20.23742525433813,"LINESTRING (-76.623275705 42.408155975, -76.37772699500002 42.424326445000005)"
70,H0,70,H0,0.0,"LINESTRING (-76.623275705 42.408155975, -76.623275705 42.408155975)"
70,H0,71,H1,2.2399993668936125,"LINESTRING (-76.623275705 42.408155975, -76.595992515 42.408155975)"
70,H0,72,H2,4.479998674260051,"LINESTRING (-76.623275705 42.408155975, -76.568709325 42.408155975)"
70,H0,73,H3,6.71999786659564,"LINESTRING (-76.623275705 42.408155975, -76.541426135 42.408155975)"
70,H0,74,H4,8.959996885378994,"LINESTRING (-76.623275705 42.408155975, -76.514142945 42.408155975)"
70,H0,75,H5,11.199995673698043,"LINESTRING (-76.623275705 42.408155975, -76.486859755 42.408155975)"
70,H0,76,H6,13.439994173567646,"LINESTRING (-76.623275705 42.408155975, -76.45957656499998 42.408155975)"
70,H0,77,H7,15.679992326695947,"LINESTRING (-76.623275705 42.408155975, -76.43229337499999 42.408155975)"
70,H0,78,H8,17.919990075178884,"LINESTRING (-76.623275705 42.408155975, -76.405010185 42.408155975)"
70,H0,79,H9,20.159987362178725,"LINESTRING (-76.623275705 42.408155975, -76.37772699500002 42.408155975)"
70,H0,80,I0,1.7980742261423248,"LINESTRING (-76.623275705 42.408155975, -76.623275705 42.39198550499999)"
70,H0,81,I1,2.8726227397543536,"LINESTRING (-76.623275705 42.408155975, -76.595992515 42.39198550499999)"
70,H0,82,I2,4.827901440441771,"LINESTRING (-76.623275705 42.408155975, -76.56870932499999 42.39198550499999)"
70,H0,83,I3,6.957232360548288,"LINESTRING (-76.623275705 42.408155975, -76.541426135 42.39198550499999)"
70,H0,84,I4,9.139765216950064,"LINESTRING (-76.623275705 42.408155975, -76.514142945 42.39198550499999)"
70,H0,85,I5,11.344836138190436,"LINESTRING (-76.623275705 42.408155975, -76.486859755 42.39198550499999)"
70,H0,86,I6,13.561455445515847,"LINESTRING (-76.623275705 42.408155975, -76.45957656499998 42.39198550499999)"
70,H0,87,I7,15.784758564282285,"LINESTRING (-76.623275705 42.408155975, -76.43229337500001 42.39198550499999)"
70,H0,88,I8,18.01227047481719,"LINESTRING (-76.623275705 42.408155975, -76.40501018500001 42.39198550499999)"
70,H0,89,I9,20.24260161699108,"LINESTRING (-76.623275705 42.408155975, -76.37772699500002 42.39198550499999)"
70,H0,90,J0,3.596148450496795,"LINESTRING (-76.623275705 42.408155975, -76.623275705 42.375815035)"
70,H0,91,J1,4.237035189556439,"LINESTRING (-76.623275705 42.408155975, -76.595992515 42.375815034999995)"
70,H0,92,J2,5.7456955434028405,"LINESTRING (-76.623275705 42.408155975, -76.56870932499999 42.375815034999995)"
70,H0,93,J3,7.623249460543929,"LINESTRING (-76.623275705 42.408155975, -76.541426135 42.375815035)"
70,H0,94,J4,9.656873708539601,"LINESTRING (-76.623275705 42.408155975, -76.514142945 42.375815035)"
70,H0,95,J5,11.765918836857123,"LINESTRING (-76.623275705 42.408155975, -76.486859755 42.375815034999995)"
70,H0,96,J6,13.91613583024535,"LINESTRING (-76.623275705 42.408155975, -76.45957656499998 42.375815034999995)"
70,H0,97,J7,16.09102778793099,"LINESTRING (-76.623275705 42.408155975, -76.43229337500001 42.375815035)"
70,H0,98,J8,18.281790278599075,"LINESTRING (-76.623275705 42.408155975, -76.40501018500001 42.375815035)"
70,H0,99,J9,20.483331522567784,"LINESTRING (-76.623275705 42.408155975, -76.37772699500002 42.375815034999995)"
70,H0,100,gate0,14.384593803692049,"LINESTRING (-76.623275705 42.408155975, -76.623275705 42.53751973500001)"
70,H0,101,gate1,14.557602134812774,"LINESTRING (-76.623275705 42.408155975, -76.595992515 42.537519735000004)"
70,H0,102,gate2,15.064710499523477,"LINESTRING (-76.623275705 42.408155975, -76.56870932499999 42.537519735000004)"
70,H0,103,gate3,15.873931615021965,"LINESTRING (-76.623275705 42.408155975, -76.541426135 42.53751973500001)"
70,H0,104,gate4,16.942030125366657,"LINESTRING (-76.623275705 42.408155975, -76.514142945 42.53751973500001)"
70,H0,105,gate5,18.223543518468016,"LINESTRING (-76.623275705 42.408155975, -76.486859755 42.537519735000004)"
70,H0,106,gate6,19.67681785884853,"LINESTRING (-76.623275705 42.408155975, -76.45957656499998 42.537519735000004)"
70,H0,107,gate7,21.266669864658706,"LINESTRING (-76.623275705 42.408155975, -76.43229337500001 42.53751973500001)"
70,H0,108,gate8,22.96475103009049,"LINESTRING (-76.623275705 42.408155975, -76.40501018500001 42.53751973500001)"
70,H0,109,gate9,24.748793536570417,"LINESTRING (-76.623275705 42.408155975, -76.37772699500002 42.537519735000004)"
70,H0,110,gate10,5.394222676287978,"LINESTRING (-76.623275705 42.408155975, -76.623275705 42.359644565)"
70,H0,111,gate11,5.8411569574963025,"LINESTRING (-76.623275705 42.408155975, -76.595992515 42.359644564999996)"
70,H0,112,gate12,7.013097961876393,"LINESTRING (-76.623275705 42.408155975, -76.56870932499999 42.359644564999996)"
70,H0,113,gate13,8.619218179602113,"LINESTRING (-76.623275705 42.408155975, -76.541426135 42.359644565)"
70,H0,114,gate14,10.461417160178403,"LINESTRING (-76.623275705 42.408155975, -76.514142945 42.359644565)"
70,H0,115,gate15,12.435212918494052,"LINESTRING (-76.623275705 42.408155975, -76.486859755 42.359644564999996)"
70,H0,116,gate16,14.486915867711284,"LINESTRING (-76.623275705 42.408155975, -76.45957656499998 42.359644564999996)"
70,H0,117,gate17,16.58764227983114,"LINESTRING (-76.623275705 42.408155975, -76.43229337500001 42.359644565)"
70,H0,118,gate18,18.720896044894253,"LINESTRING (-76.623275705 42.408155975, -76.40501018500001 42.359644565)"
70,H0,119,gate19,20.876708086971508,"LINESTRING (-76.623275705 42.408155975, -76.37772699500002 42.359644564999996)"
70,H0,120,gate20,12.783935683648933,"LINESTRING (-76.623275705 42.408155975, -76.65055889499999 42.52134926500001)"
70,H0,121,gate21,11.018184277638216,"LINESTRING (-76.623275705 42.408155975, -76.65055889499999 42.505178795000006)"
70,H0,122,gate22,9.264874504035982,"LINESTRING (-76.623275705 42.408155975, -76.65055889499999 42.489008325)"
70,H0,123,gate23,7.532699113971078,"LINESTRING (-76.623275705 42.408155975, -76.65055889499999 42.472837855)"
70,H0,124,gate24,5.840492606101687,"LINESTRING (-76.623275705 42.408155975, -76.65055889499999 42.456667384999996)"
70,H0,125,gate25,4.23642460058565,"LINESTRING (-76.623275705 42.408155975, -76.65055889499999 42.440496915)"
70,H0,126,gate26,2.8721724348475295,"LINESTRING (-76.623275705 42.408155975, -76.65055889499999 42.424326445000005)"
70,H0,127,gate27,2.2399993668936125,"LINESTRING (-76.623275705 42.408155975, -76.65055889499999 42.408155975)"
70,H0,128,gate28,2.8726227397543536,"LINESTRING (-76.623275705 42.408155975, -76.65055889499999 42.39198550499999)"
70,H0,129,gate29,4.237035189556439,"LINESTRING (-76.623275705 42.408155975, -76.65055889499999 42.375815035)"
70,H0,130,gate30,25.676325565104356,"LINESTRING (-76.623275705 42.408155975, -76.35044380500003 42.521349265000005)"
70,H0,131,gate31,24.846997625347818,"LINESTRING (-76.623275705 42.408155975, -76.35044380500003 42.50517879500001)"
70,H0,132,gate32,24.123411920082734,"LINESTRING (-76.623275705 42.408155975, -76.35044380500003 42.489008325)"
70,H0,133,gate33,23.515331797162233,"LINESTRING (-76.623275705 42.408155975, -76.35044380500003 42.472837855)"
70,H0,134,gate34,23.03190768490227,"LINESTRING (-76.623275705 42.408155975, -76.35044380500003 42.456667384999996)"
70,H0,135,gate35,22.681111720236206,"LINESTRING (-76.623275705 42.408155975, -76.35044380500003 42.440496915)"
70,H0,136,gate36,22.46915666710902,"LINESTRING (-76.623275705 42.408155975, -76.35044380500003 42.424326445000005)"
70,H0,137,gate37,22.39998412897664,"LINESTRING (-76.623275705 42.408155975, -76.35044380500003 42.408155975)"
70,H0,138,gate38,22.474912499050134,"LINESTRING (-76.623275705 42.408155975, -76.35044380500003 42.39198550499999)"
70,H0,139,gate39,22.692514401628817,"LINESTRING (-76.623275705 42.408155975, -76.35044380500003 42.375815034999995)"
71,H1,0,A0,12.783935683648933,"LINESTRING (-76.595992515 42.408155975, -76.623275705 42.52134926500001)"
71,H1,1,A1,12.586519578112213,"LINESTRING (-76.595992515 42.408155975, -76.595992515 42.521349265000005)"
71,H1,2,A2,12.78393568329643,"LINESTRING (-76.595992515 42.408155975, -76.56870932499999 42.521349265000005)"
71,H1,3,A3,13.358690820565803,"LINESTRING (-76.595992515 42.408155975, -76.541426135 42.52134926500001)"
71,H1,4,A4,14.265247988516506,"LINESTRING (-76.595992515 42.408155975, -76.514142945 42.52134926500001)"
