link_id,link_no,layer_no,from_node_id,to_node_id,from_gate_flag,to_gate_flag,link_type,link_type_name,lanes,link_distance_VDF,free_speed,cutoff_speed,fftt,capacity,allow_uses,BPR_plf,BPR_alpha,BPR_beta,QVDF_qdf,QVDF_alpha,QVDF_beta,QVDF_cd,QVDF_n,geometry
26,26,0,21,22,-1,-1,6,residential,0,0.803375,30.000000,25.500000,1.606750,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4416670 42.4320120, -76.4416450 42.4321160, -76.4416400 42.4321610, -76.4416420 42.4325170, -76.4416540 42.4329310, -76.4416622 42.4330825, -76.4417191 42.4341269, -76.4417650 42.4349700, -76.4418022 42.4356021, -76.4418513 42.4364382, -76.4418630 42.4366370, -76.4419050 42.4373450, -76.4419475 42.4384142, -76.4419720 42.4390290, -76.4420011 42.4396985, -76.4420650 42.4411710, -76.4420720 42.4412160, -76.4420960 42.4412740, -76.4421350 42.4413230, -76.4421870 42.4413670, -76.4422510 42.4414030, -76.4423096 42.4414250, -76.4424000 42.4414410, -76.4425790 42.4414430, -76.4430950 42.4414460, -76.4431690 42.4414490, -76.4432400 42.4414620, -76.4433060 42.4414840, -76.4433640 42.4415190, -76.4434110 42.4415630, -76.4434450 42.4416130, -76.4434650 42.4416620, -76.4434690 42.4417160, -76.4432524 42.4427505, -76.4432450 42.4427860, -76.4432400 42.4428060, -76.4432341 42.4428290)",
27,27,0,22,21,-1,-1,6,residential,0,0.803375,30.000000,25.500000,1.606750,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4432341 42.4428290, -76.4432400 42.4428060, -76.4432450 42.4427860, -76.4432524 42.4427505, -76.4434690 42.4417160, -76.4434650 42.4416620, -76.4434450 42.4416130, -76.4434110 42.4415630, -76.4433640 42.4415190, -76.4433060 42.4414840, -76.4432400 42.4414620, -76.4431690 42.4414490, -76.4430950 42.4414460, -76.4425790 42.4414430, -76.4424000 42.4414410, -76.4423096 42.4414250, -76.4422510 42.4414030, -76.4421870 42.4413670, -76.4421350 42.4413230, -76.4420960 42.4412740, -76.4420720 42.4412160, -76.4420650 42.4411710, -76.4420011 42.4396985, -76.4419720 42.4390290, -76.4419475 42.4384142, -76.4419050 42.4373450, -76.4418630 42.4366370, -76.4418513 42.4364382, -76.4418022 42.4356021, -76.4417650 42.4349700, -76.4417191 42.4341269, -76.4416622 42.4330825, -76.4416540 42.4329310, -76.4416420 42.4325170, -76.4416400 42.4321610, -76.4416450 42.4321160, -76.4416670 42.4320120)",
28,28,0,23,24,-1,-1,6,residential,0,0.040006,30.000000,25.500000,0.080012,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4412650 42.4488876, -76.4412734 42.4486507, -76.4412830 42.4483080)",
29,29,0,24,23,-1,-1,6,residential,0,0.040006,30.000000,25.500000,0.080012,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4412830 42.4483080, -76.4412734 42.4486507, -76.4412650 42.4488876)",
30,30,0,25,26,-1,-1,15,unclassified,0,0.132231,16.000000,13.600000,0.495867,800.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4970280 42.4438880, -76.4971162 42.4439201, -76.4973630 42.4440100, -76.4975270 42.4440660, -76.4979130 42.4442100, -76.4981240 42.4442830, -76.4981397 42.4442888, -76.4984810 42.4444140, -76.4988890 42.4445660, -76.4990810 42.4446400, -76.4991220 42.4446710, -76.4991629 42.4447091, -76.4992700 42.4448090)",
31,31,0,27,28,-1,-1,6,residential,0,0.167831,30.000000,25.500000,0.335662,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4906970 42.4642240, -76.4907980 42.4642230, -76.4909970 42.4642070, -76.4911590 42.4641820, -76.4915440 42.4640920, -76.4916490 42.4640500, -76.4917400 42.4639940, -76.4918140 42.4639260, -76.4918440 42.4638850, -76.4918850 42.4638030, -76.4919030 42.4637180, -76.4919010 42.4636590, -76.4918660 42.4635110, -76.4918530 42.4634570, -76.4918400 42.4633580, -76.4918410 42.4632590, -76.4918560 42.4631550, -76.4918850 42.4630600, -76.4919320 42.4629520, -76.4921306 42.4626048, -76.4921634 42.4625658, -76.4922040 42.4625395, -76.4922432 42.4625277, -76.4922852 42.4625211)",
32,32,0,28,27,-1,-1,6,residential,0,0.167831,30.000000,25.500000,0.335662,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4922852 42.4625211, -76.4922432 42.4625277, -76.4922040 42.4625395, -76.4921634 42.4625658, -76.4921306 42.4626048, -76.4919320 42.4629520, -76.4918850 42.4630600, -76.4918560 42.4631550, -76.4918410 42.4632590, -76.4918400 42.4633580, -76.4918530 42.4634570, -76.4918660 42.4635110, -76.4919010 42.4636590, -76.4919030 42.4637180, -76.4918850 42.4638030, -76.4918440 42.4638850, -76.4918140 42.4639260, -76.4917400 42.4639940, -76.4916490 42.4640500, -76.4915440 42.4640920, -76.4911590 42.4641820, -76.4909970 42.4642070, -76.4907980 42.4642230, -76.4906970 42.4642240)",
33,33,0,28,29,-1,-1,6,residential,0,0.122604,30.000000,25.500000,0.245208,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4922852 42.4625211, -76.4923049 42.4625234, -76.4923873 42.4625555, -76.4924780 42.4625939, -76.4927490 42.4627310, -76.4928393 42.4627758, -76.4932851 42.4629967, -76.4933796 42.4630491, -76.4934405 42.4630943, -76.4935073 42.4631494, -76.4935750 42.4632230, -76.4938132 42.4634575, -76.4939532 42.4635730, -76.4940206 42.4636217, -76.4940853 42.4636613)",
34,34,0,29,28,-1,-1,6,residential,0,0.122604,30.000000,25.500000,0.245208,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4940853 42.4636613, -76.4940206 42.4636217, -76.4939532 42.4635730, -76.4938132 42.4634575, -76.4935750 42.4632230, -76.4935073 42.4631494, -76.4934405 42.4630943, -76.4933796 42.4630491, -76.4932851 42.4629967, -76.4928393 42.4627758, -76.4927490 42.4627310, -76.4924780 42.4625939, -76.4923873 42.4625555, -76.4923049 42.4625234, -76.4922852 42.4625211)",
35,35,0,29,30,-1,-1,6,residential,0,0.044537,30.000000,25.500000,0.089074,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4940853 42.4636613, -76.4942420 42.4637370, -76.4943430 42.4637760, -76.4944180 42.4637930, -76.4944930 42.4638003, -76.4945659 42.4637970, -76.4946298 42.4637901, -76.4947027 42.4637762, -76.4947792 42.4637565, -76.4948368 42.4637384, -76.4948911 42.4637194)",
