start_time,end_time,link_id,tmc_corridor_name,link_type_name,from_node_id,to_node_id,meso_link_id,from_cell_code,lanes,length,free_speed,FFTT,time_period,inflow_volume,outflow_volume,CA,CD,density,queue_length_in_process,queue_ratio,discharge_cap,TD_free_flow_travel_time,waiting_time_in_sec,speed,geometry,notes
2024-01-01 08:00:00,2024-01-01 09:00:00,20,network_wide,residential,17,18,-1,,0,0.073,30.000,0.145,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.145,0.000,30.000,"LINESTRING (-76.4760720 42.4750760, -76.4757684 42.4750666, -76.4757522 42.4750661, -76.4756220 42.4750620, -76.4755620 42.4750600, -76.4754880 42.4750610, -76.4753888 42.4750570, -76.4750630 42.4750440, -76.4749569 42.4750438, -76.4748659 42.4750415, -76.4747357 42.4750381, -76.4746540 42.4750360)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,21,network_wide,residential,18,17,-1,,0,0.073,30.000,0.145,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.145,0.000,30.000,"LINESTRING (-76.4746540 42.4750360, -76.4747357 42.4750381, -76.4748659 42.4750415, -76.4749569 42.4750438, -76.4750630 42.4750440, -76.4753888 42.4750570, -76.4754880 42.4750610, -76.4755620 42.4750600, -76.4756220 42.4750620, -76.4757522 42.4750661, -76.4757684 42.4750666, -76.4760720 42.4750760)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,21,network_wide,residential,18,17,-1,,0,0.073,30.000,0.145,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.145,0.000,30.000,"LINESTRING (-76.4746540 42.4750360, -76.4747357 42.4750381, -76.4748659 42.4750415, -76.4749569 42.4750438, -76.4750630 42.4750440, -76.4753888 42.4750570, -76.4754880 42.4750610, -76.4755620 42.4750600, -76.4756220 42.4750620, -76.4757522 42.4750661, -76.4757684 42.4750666, -76.4760720 42.4750760)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,22,network_wide,residential,18,19,-1,,0,0.125,30.000,0.251,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.251,0.000,30.000,"LINESTRING (-76.4746540 42.4750360, -76.4745130 42.4750380, -76.4743560 42.4750530, -76.4743267 42.4750586, -76.4742435 42.4750745, -76.4742040 42.4750820, -76.4740550 42.4751200, -76.4739140 42.4751710, -76.4738987 42.4751780, -76.4738734 42.4751895, -76.4737752 42.4752342, -76.4736900 42.4752730, -76.4735263 42.4753545, -76.4734612 42.4753869, -76.4732309 42.4755016, -76.4732060 42.4755140, -76.4731694 42.4755359, -76.4729530 42.4756650, -76.4729005 42.4757020, -76.4728421 42.4757430, -76.4726530 42.4758760, -76.4725860 42.4759270)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,22,network_wide,residential,18,19,-1,,0,0.125,30.000,0.251,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.251,0.000,30.000,"LINESTRING (-76.4746540 42.4750360, -76.4745130 42.4750380, -76.4743560 42.4750530, -76.4743267 42.4750586, -76.4742435 42.4750745, -76.4742040 42.4750820, -76.4740550 42.4751200, -76.4739140 42.4751710, -76.4738987 42.4751780, -76.4738734 42.4751895, -76.4737752 42.4752342, -76.4736900 42.4752730, -76.4735263 42.4753545, -76.4734612 42.4753869, -76.4732309 42.4755016, -76.4732060 42.4755140, -76.4731694 42.4755359, -76.4729530 42.4756650, -76.4729005 42.4757020, -76.4728421 42.4757430, -76.4726530 42.4758760, -76.4725860 42.4759270)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,23,network_wide,residential,19,18,-1,,0,0.125,30.000,0.251,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.251,0.000,30.000,"LINESTRING (-76.4725860 42.4759270, -76.4726530 42.4758760, -76.4728421 42.4757430, -76.4729005 42.4757020, -76.4729530 42.4756650, -76.4731694 42.4755359, -76.4732060 42.4755140, -76.4732309 42.4755016, -76.4734612 42.4753869, -76.4735263 42.4753545, -76.4736900 42.4752730, -76.4737752 42.4752342, -76.4738734 42.4751895, -76.4738987 42.4751780, -76.4739140 42.4751710, -76.4740550 42.4751200, -76.4742040 42.4750820, -76.4742435 42.4750745, -76.4743267 42.4750586, -76.4743560 42.4750530, -76.4745130 42.4750380, -76.4746540 42.4750360)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,23,network_wide,residential,19,18,-1,,0,0.125,30.000,0.251,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.251,0.000,30.000,"LINESTRING (-76.4725860 42.4759270, -76.4726530 42.4758760, -76.4728421 42.4757430, -76.4729005 42.4757020, -76.4729530 42.4756650, -76.4731694 42.4755359, -76.4732060 42.4755140, -76.4732309 42.4755016, -76.4734612 42.4753869, -76.4735263 42.4753545, -76.4736900 42.4752730, -76.4737752 42.4752342, -76.4738734 42.4751895, -76.4738987 42.4751780, -76.4739140 42.4751710, -76.4740550 42.4751200, -76.4742040 42.4750820, -76.4742435 42.4750745, -76.4743267 42.4750586, -76.4743560 42.4750530, -76.4745130 42.4750380, -76.4746540 42.4750360)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,24,network_wide,residential,19,20,-1,,0,0.184,30.000,0.368,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.368,0.000,30.000,"LINESTRING (-76.4725860 42.4759270, -76.4724271 42.4760546, -76.4724128 42.4760661, -76.4723120 42.4761470, -76.4722200 42.4762290, -76.4721390 42.4763200, -76.4720720 42.4764200, -76.4720558 42.4764511, -76.4720200 42.4765200, -76.4719820 42.4766280, -76.4719590 42.4767360, -76.4719535 42.4768360, -76.4719530 42.4768450, -76.4719650 42.4769619, -76.4720005 42.4773059, -76.4720212 42.4775072, -76.4720285 42.4775787, -76.4720555 42.4778409, -76.4720692 42.4779735, -76.4720946 42.4782198, -76.4721229 42.4783805, -76.4721330 42.4784383)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,24,network_wide,residential,19,20,-1,,0,0.184,30.000,0.368,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.368,0.000,30.000,"LINESTRING (-76.4725860 42.4759270, -76.4724271 42.4760546, -76.4724128 42.4760661, -76.4723120 42.4761470, -76.4722200 42.4762290, -76.4721390 42.4763200, -76.4720720 42.4764200, -76.4720558 42.4764511, -76.4720200 42.4765200, -76.4719820 42.4766280, -76.4719590 42.4767360, -76.4719535 42.4768360, -76.4719530 42.4768450, -76.4719650 42.4769619, -76.4720005 42.4773059, -76.4720212 42.4775072, -76.4720285 42.4775787, -76.4720555 42.4778409, -76.4720692 42.4779735, -76.4720946 42.4782198, -76.4721229 42.4783805, -76.4721330 42.4784383)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,25,network_wide,residential,20,19,-1,,0,0.184,30.000,0.368,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.368,0.000,30.000,"LINESTRING (-76.4721330 42.4784383, -76.4721229 42.4783805, -76.4720946 42.4782198, -76.4720692 42.4779735, -76.4720555 42.4778409, -76.4720285 42.4775787, -76.4720212 42.4775072, -76.4720005 42.4773059, -76.4719650 42.4769619, -76.4719530 42.4768450, -76.4719535 42.4768360, -76.4719590 42.4767360, -76.4719820 42.4766280, -76.4720200 42.4765200, -76.4720558 42.4764511, -76.4720720 42.4764200, -76.4721390 42.4763200, -76.4722200 42.4762290, -76.4723120 42.4761470, -76.4724128 42.4760661, -76.4724271 42.4760546, -76.4725860 42.4759270)",simulation-based
