  density,   flow,      speed,      queue
  -0.00000,  15.66629,  60.00696,  -0.00000
  -0.00000,  14.68038,  60.00846,  -0.00000
  -0.00000,  17.71414,  60.00925,  -0.00000
  -0.00000,  25.60828,  60.00874,  -0.00000
  -0.00000,  34.89220,  60.00721,  -0.00000
  -0.00000,  38.40991,  60.00566,  -0.00000
  -0.00000,  35.35821,  60.00504,  -0.00000
  -0.00000,  28.81852,  60.00529,  -0.00000
  -0.00000,  23.35426,  60.00617,  -0.00000
  -0.00000,  22.27412,  60.00655,  -0.00000
  -0.00000,  22.87073,  60.00689,  -0.00000
  -0.00000,  25.86002,  60.00658,  -0.00000
  -0.00000,  26.87647,  60.00683,  -0.00000
  -0.00000,  27.35909,  60.00723,  -0.00000
  -0.00000,  26.48868,  60.00788,  -0.00000
  -0.00000,  27.96601,  60.00767,  -0.00000
  -0.00000,  27.46431,  60.00707,  -0.00000
   0.00000,  26.86030,  60.00620,  -0.00000
   0.00000,  23.84914,  60.00626,  -0.00000
   0.00000,  20.98184,  60.00785,  -0.00000
  -0.00000,  20.19853,  60.00941,  -0.00000
  -0.00000,  24.84711,  60.01028,  -0.00000
  -0.00000,  34.01270,  60.01019,  -0.00000
  -0.00000,  41.37256,  60.00907,  -0.00000
  -0.00000,  43.61833,  60.00805,  -0.00000
  -0.00000,  40.53369,  60.00762,  -0.00000
  -0.00000,  35.66263,  60.00832,  -0.00000
  -0.00000,  33.44545,  60.00888,  -0.00000
  -0.00000,  33.93826,  60.00871,  -0.00000
  -0.00000,  38.43088,  60.00736,  -0.00000
  -0.00000,  40.60481,  60.00592,  -0.00000
  -0.00000,  37.25827,  60.00498,  -0.00000
  -0.00000,  30.72634,  60.00512,  -0.00000
  -0.00000,  23.64392,  60.00553,  -0.00000
  -0.00000,  15.74767,  60.00557,  -0.00000
  -0.00000,  13.87729,  60.00536,  -0.00000
   0.00000,  12.37935,  60.00545,  -0.00000
   0.00000,  11.35633,  60.00626,  -0.00000
  -0.00000,   9.88668,  60.00774,  -0.00000
  -0.00000,  11.82813,  60.00898,  -0.00000
  -0.00000,  21.94546,  60.00874,  -0.00000
  -0.00000,  30.65789,  60.00761,  -0.00000
   0.00000,  36.00707,  60.00596,  -0.00000
   0.00000,  36.76304,  60.00470,  -0.00000
   0.00000,  30.92917,  60.00513,  -0.00000
   0.00000,  24.73122,  60.00644,  -0.00000
   0.00000,  22.92083,  60.00792,  -0.00000
   0.00000,  26.69879,  60.00824,  -0.00000
   0.00000,  31.40965,  60.00783,  -0.00000
   0.00000,  32.77844,  60.00730,  -0.00000
  -0.00000,  30.09532,  60.00752,  -0.00000
  -0.00000,  24.61470,  60.00827,  -0.00000
  -0.00000,  17.59597,  60.00882,  -0.00000
  -0.00000,  16.19032,  60.00871,  -0.00000
   0.00000,  17.09413,  60.00796,  -0.00000
   0.00000,  16.17206,  60.00791,  -0.00000
   0.00000,  14.42857,  60.00780,   0.00000
  -0.00000,  12.35659,  60.00826,   0.00000
  -0.00000,  14.41569,  60.00889,   0.00000
  -0.00000,  17.22056,  60.00838,   0.00000
  -0.00000,  21.44185,  60.00710,  -0.00000
  -0.00000,  22.92945,  60.00614,  -0.00000
  -0.00000,  19.84047,  60.00585,  -0.00000
  -0.00000,  14.99716,  60.00675,  -0.00000
  -0.00000,  14.63757,  60.00831,  -0.00000
  -0.00000,  17.25383,  60.00887,  -0.00000
  -0.00000,  25.51810,  60.00817,  -0.00000
   0.00000,  35.87469,  60.00662,  -0.00000
   0.00000,  38.20721,  60.00543,  -0.00000
   0.00000,  33.11890,  60.00531,  -0.00000
   0.00000,  24.54355,  60.00611,  -0.00000
   0.00000,  17.57941,  60.00748,  -0.00000
   0.00000,  16.17094,  60.00845,  -0.00000
   0.00000,  18.74617,  60.00944,  -0.00000
   0.00000,  22.37988,  60.00991,  -0.00000
   0.00000,  24.30861,  60.01086,  -0.00000
   0.00000,  28.92352,  60.01171,  -0.00000
  -0.00000,  31.09411,  60.01265,  -0.00000
  -0.00000,  35.93628,  60.01247,  -0.00000
   0.00000,  39.19218,  60.01081,  -0.00000
   0.00000,  39.43808,  60.00916,  -0.00000
   0.00000,  35.45668,  60.00850,  -0.00000
   0.00000,  29.19683,  60.00907,  -0.00000
   0.00000,  26.09409,  60.00989,  -0.00000
   0.00000,  27.80056,  60.00994,  -0.00000
   0.00000,  28.20638,  60.00872,  -0.00000
