name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
South Plain Street,13,20181137,12,11,1,124.62,2,48,1200,tertiary,5,"LINESTRING (-76.5035514 42.4317984, -76.5034911 42.4307937, -76.5034898 42.4307691, -76.5034798 42.4307214, -76.5034531 42.4306824)",auto,1,0,,
Brewery Lane,14,20181138,13,14,1,162.2,1,30,1000,residential,6,"LINESTRING (-76.5333820 42.4136480, -76.5335280 42.4138130, -76.5336780 42.4139950, -76.5343430 42.4147110, -76.5344170 42.4148050, -76.5344250 42.4148770)",auto,1,0,,
Brewery Lane,15,20181138,14,13,1,162.2,1,30,1000,residential,6,"LINESTRING (-76.5344250 42.4148770, -76.5344170 42.4148050, -76.5343430 42.4147110, -76.5336780 42.4139950, -76.5335280 42.4138130, -76.5333820 42.4136480)",auto,1,0,,
Burleigh Drive,16,20181146,15,16,1,147.08,1,30,1000,residential,6,"LINESTRING (-76.4787470 42.4741363, -76.4785900 42.4742256, -76.4782890 42.4744120, -76.4782298 42.4744479, -76.4780680 42.4745460, -76.4779050 42.4746550, -76.4778120 42.4747160, -76.4777080 42.4747752, -76.4776170 42.4748270, -76.4774440 42.4749100, -76.4773380 42.4749470)",auto,1,0,,
Burleigh Drive,17,20181146,16,15,1,147.08,1,30,1000,residential,6,"LINESTRING (-76.4773380 42.4749470, -76.4774440 42.4749100, -76.4776170 42.4748270, -76.4777080 42.4747752, -76.4778120 42.4747160, -76.4779050 42.4746550, -76.4780680 42.4745460, -76.4782298 42.4744479, -76.4782890 42.4744120, -76.4785900 42.4742256, -76.4787470 42.4741363)",auto,1,0,,
Burleigh Drive,18,20181146,16,17,1,106.23,1,30,1000,residential,6,"LINESTRING (-76.4773380 42.4749470, -76.4772570 42.4749750, -76.4771449 42.4750042, -76.4770570 42.4750270, -76.4768510 42.4750570, -76.4766410 42.4750780, -76.4766119 42.4750779, -76.4763652 42.4750772, -76.4763110 42.4750770, -76.4762140 42.4750790, -76.4761774 42.4750782, -76.4760720 42.4750760)",auto,1,0,,
Burleigh Drive,19,20181146,17,16,1,106.23,1,30,1000,residential,6,"LINESTRING (-76.4760720 42.4750760, -76.4761774 42.4750782, -76.4762140 42.4750790, -76.4763110 42.4750770, -76.4763652 42.4750772, -76.4766119 42.4750779, -76.4766410 42.4750780, -76.4768510 42.4750570, -76.4770570 42.4750270, -76.4771449 42.4750042, -76.4772570 42.4749750, -76.4773380 42.4749470)",auto,1,0,,
Burleigh Drive,20,20181146,17,18,1,116.66,1,30,1000,residential,6,"LINESTRING (-76.4760720 42.4750760, -76.4757684 42.4750666, -76.4757522 42.4750661, -76.4756220 42.4750620, -76.4755620 42.4750600, -76.4754880 42.4750610, -76.4753888 42.4750570, -76.4750630 42.4750440, -76.4749569 42.4750438, -76.4748659 42.4750415, -76.4747357 42.4750381, -76.4746540 42.4750360)",auto,1,0,,
Burleigh Drive,21,20181146,18,17,1,116.66,1,30,1000,residential,6,"LINESTRING (-76.4746540 42.4750360, -76.4747357 42.4750381, -76.4748659 42.4750415, -76.4749569 42.4750438, -76.4750630 42.4750440, -76.4753888 42.4750570, -76.4754880 42.4750610, -76.4755620 42.4750600, -76.4756220 42.4750620, -76.4757522 42.4750661, -76.4757684 42.4750666, -76.4760720 42.4750760)",auto,1,0,,
Burleigh Drive,22,20181146,18,19,1,201.55,1,30,1000,residential,6,"LINESTRING (-76.4746540 42.4750360, -76.4745130 42.4750380, -76.4743560 42.4750530, -76.4743267 42.4750586, -76.4742435 42.4750745, -76.4742040 42.4750820, -76.4740550 42.4751200, -76.4739140 42.4751710, -76.4738987 42.4751780, -76.4738734 42.4751895, -76.4737752 42.4752342, -76.4736900 42.4752730, -76.4735263 42.4753545, -76.4734612 42.4753869, -76.4732309 42.4755016, -76.4732060 42.4755140, -76.4731694 42.4755359, -76.4729530 42.4756650, -76.4729005 42.4757020, -76.4728421 42.4757430, -76.4726530 42.4758760, -76.4725860 42.4759270)",auto,1,0,,
Burleigh Drive,23,20181146,19,18,1,201.55,1,30,1000,residential,6,"LINESTRING (-76.4725860 42.4759270, -76.4726530 42.4758760, -76.4728421 42.4757430, -76.4729005 42.4757020, -76.4729530 42.4756650, -76.4731694 42.4755359, -76.4732060 42.4755140, -76.4732309 42.4755016, -76.4734612 42.4753869, -76.4735263 42.4753545, -76.4736900 42.4752730, -76.4737752 42.4752342, -76.4738734 42.4751895, -76.4738987 42.4751780, -76.4739140 42.4751710, -76.4740550 42.4751200, -76.4742040 42.4750820, -76.4742435 42.4750745, -76.4743267 42.4750586, -76.4743560 42.4750530, -76.4745130 42.4750380, -76.4746540 42.4750360)",auto,1,0,,
Burleigh Drive,24,20181146,19,20,1,295.67,1,30,1000,residential,6,"LINESTRING (-76.4725860 42.4759270, -76.4724271 42.4760546, -76.4724128 42.4760661, -76.4723120 42.4761470, -76.4722200 42.4762290, -76.4721390 42.4763200, -76.4720720 42.4764200, -76.4720558 42.4764511, -76.4720200 42.4765200, -76.4719820 42.4766280, -76.4719590 42.4767360, -76.4719535 42.4768360, -76.4719530 42.4768450, -76.4719650 42.4769619, -76.4720005 42.4773059, -76.4720212 42.4775072, -76.4720285 42.4775787, -76.4720555 42.4778409, -76.4720692 42.4779735, -76.4720946 42.4782198, -76.4721229 42.4783805, -76.4721330 42.4784383)",auto,1,0,,
Burleigh Drive,25,20181146,20,19,1,295.67,1,30,1000,residential,6,"LINESTRING (-76.4721330 42.4784383, -76.4721229 42.4783805, -76.4720946 42.4782198, -76.4720692 42.4779735, -76.4720555 42.4778409, -76.4720285 42.4775787, -76.4720212 42.4775072, -76.4720005 42.4773059, -76.4719650 42.4769619, -76.4719530 42.4768450, -76.4719535 42.4768360, -76.4719590 42.4767360, -76.4719820 42.4766280, -76.4720200 42.4765200, -76.4720558 42.4764511, -76.4720720 42.4764200, -76.4721390 42.4763200, -76.4722200 42.4762290, -76.4723120 42.4761470, -76.4724128 42.4760661, -76.4724271 42.4760546, -76.4725860 42.4759270)",auto,1,0,,
Dodge Road,26,20181162,21,22,1,1292.63,1,30,1000,residential,6,"LINESTRING (-76.4416670 42.4320120, -76.4416450 42.4321160, -76.4416400 42.4321610, -76.4416420 42.4325170, -76.4416540 42.4329310, -76.4416622 42.4330825, -76.4417191 42.4341269, -76.4417650 42.4349700, -76.4418022 42.4356021, -76.4418513 42.4364382, -76.4418630 42.4366370, -76.4419050 42.4373450, -76.4419475 42.4384142, -76.4419720 42.4390290, -76.4420011 42.4396985, -76.4420650 42.4411710, -76.4420720 42.4412160, -76.4420960 42.4412740, -76.4421350 42.4413230, -76.4421870 42.4413670, -76.4422510 42.4414030, -76.4423096 42.4414250, -76.4424000 42.4414410, -76.4425790 42.4414430, -76.4430950 42.4414460, -76.4431690 42.4414490, -76.4432400 42.4414620, -76.4433060 42.4414840, -76.4433640 42.4415190, -76.4434110 42.4415630, -76.4434450 42.4416130, -76.4434650 42.4416620, -76.4434690 42.4417160, -76.4432524 42.4427505, -76.4432450 42.4427860, -76.4432400 42.4428060, -76.4432341 42.4428290)",auto,1,0,,
Dodge Road,27,20181162,22,21,1,1292.63,1,30,1000,residential,6,"LINESTRING (-76.4432341 42.4428290, -76.4432400 42.4428060, -76.4432450 42.4427860, -76.4432524 42.4427505, -76.4434690 42.4417160, -76.4434650 42.4416620, -76.4434450 42.4416130, -76.4434110 42.4415630, -76.4433640 42.4415190, -76.4433060 42.4414840, -76.4432400 42.4414620, -76.4431690 42.4414490, -76.4430950 42.4414460, -76.4425790 42.4414430, -76.4424000 42.4414410, -76.4423096 42.4414250, -76.4422510 42.4414030, -76.4421870 42.4413670, -76.4421350 42.4413230, -76.4420960 42.4412740, -76.4420720 42.4412160, -76.4420650 42.4411710, -76.4420011 42.4396985, -76.4419720 42.4390290, -76.4419475 42.4384142, -76.4419050 42.4373450, -76.4418630 42.4366370, -76.4418513 42.4364382, -76.4418022 42.4356021, -76.4417650 42.4349700, -76.4417191 42.4341269, -76.4416622 42.4330825, -76.4416540 42.4329310, -76.4416420 42.4325170, -76.4416400 42.4321610, -76.4416450 42.4321160, -76.4416670 42.4320120)",auto,1,0,,
Keith Street,28,20181186,23,24,1,64.37,1,30,1000,residential,6,"LINESTRING (-76.4412650 42.4488876, -76.4412734 42.4486507, -76.4412830 42.4483080)",auto,1,0,,
Keith Street,29,20181186,24,23,1,64.37,1,30,1000,residential,6,"LINESTRING (-76.4412830 42.4483080, -76.4412734 42.4486507, -76.4412650 42.4488876)",auto,1,0,,
North Cascadilla Avenue,30,20181207,25,26,1,212.76,1,16,800,unclassified,15,"LINESTRING (-76.4970280 42.4438880, -76.4971162 42.4439201, -76.4973630 42.4440100, -76.4975270 42.4440660, -76.4979130 42.4442100, -76.4981240 42.4442830, -76.4981397 42.4442888, -76.4984810 42.4444140, -76.4988890 42.4445660, -76.4990810 42.4446400, -76.4991220 42.4446710, -76.4991629 42.4447091, -76.4992700 42.4448090)",auto,0,0,,
Devon Road,31,20181222,27,28,1,270.04,1,30,1000,residential,6,"LINESTRING (-76.4906970 42.4642240, -76.4907980 42.4642230, -76.4909970 42.4642070, -76.4911590 42.4641820, -76.4915440 42.4640920, -76.4916490 42.4640500, -76.4917400 42.4639940, -76.4918140 42.4639260, -76.4918440 42.4638850, -76.4918850 42.4638030, -76.4919030 42.4637180, -76.4919010 42.4636590, -76.4918660 42.4635110, -76.4918530 42.4634570, -76.4918400 42.4633580, -76.4918410 42.4632590, -76.4918560 42.4631550, -76.4918850 42.4630600, -76.4919320 42.4629520, -76.4921306 42.4626048, -76.4921634 42.4625658, -76.4922040 42.4625395, -76.4922432 42.4625277, -76.4922852 42.4625211)",auto,1,0,,
Devon Road,32,20181222,28,27,1,270.04,1,30,1000,residential,6,"LINESTRING (-76.4922852 42.4625211, -76.4922432 42.4625277, -76.4922040 42.4625395, -76.4921634 42.4625658, -76.4921306 42.4626048, -76.4919320 42.4629520, -76.4918850 42.4630600, -76.4918560 42.4631550, -76.4918410 42.4632590, -76.4918400 42.4633580, -76.4918530 42.4634570, -76.4918660 42.4635110, -76.4919010 42.4636590, -76.4919030 42.4637180, -76.4918850 42.4638030, -76.4918440 42.4638850, -76.4918140 42.4639260, -76.4917400 42.4639940, -76.4916490 42.4640500, -76.4915440 42.4640920, -76.4911590 42.4641820, -76.4909970 42.4642070, -76.4907980 42.4642230, -76.4906970 42.4642240)",auto,1,0,,
Devon Road,33,20181222,28,29,1,197.27,1,30,1000,residential,6,"LINESTRING (-76.4922852 42.4625211, -76.4923049 42.4625234, -76.4923873 42.4625555, -76.4924780 42.4625939, -76.4927490 42.4627310, -76.4928393 42.4627758, -76.4932851 42.4629967, -76.4933796 42.4630491, -76.4934405 42.4630943, -76.4935073 42.4631494, -76.4935750 42.4632230, -76.4938132 42.4634575, -76.4939532 42.4635730, -76.4940206 42.4636217, -76.4940853 42.4636613)",auto,1,0,,
Devon Road,34,20181222,29,28,1,197.27,1,30,1000,residential,6,"LINESTRING (-76.4940853 42.4636613, -76.4940206 42.4636217, -76.4939532 42.4635730, -76.4938132 42.4634575, -76.4935750 42.4632230, -76.4935073 42.4631494, -76.4934405 42.4630943, -76.4933796 42.4630491, -76.4932851 42.4629967, -76.4928393 42.4627758, -76.4927490 42.4627310, -76.4924780 42.4625939, -76.4923873 42.4625555, -76.4923049 42.4625234, -76.4922852 42.4625211)",auto,1,0,,
Devon Road,35,20181222,29,30,1,71.66,1,30,1000,residential,6,"LINESTRING (-76.4940853 42.4636613, -76.4942420 42.4637370, -76.4943430 42.4637760, -76.4944180 42.4637930, -76.4944930 42.4638003, -76.4945659 42.4637970, -76.4946298 42.4637901, -76.4947027 42.4637762, -76.4947792 42.4637565, -76.4948368 42.4637384, -76.4948911 42.4637194)",auto,1,0,,
Devon Road,36,20181222,30,29,1,71.66,1,30,1000,residential,6,"LINESTRING (-76.4948911 42.4637194, -76.4948368 42.4637384, -76.4947792 42.4637565, -76.4947027 42.4637762, -76.4946298 42.4637901, -76.4945659 42.4637970, -76.4944930 42.4638003, -76.4944180 42.4637930, -76.4943430 42.4637760, -76.4942420 42.4637370, -76.4940853 42.4636613)",auto,1,0,,
Strawberry Lane,37,20181266,29,31,1,139.43,1,30,1000,residential,6,"LINESTRING (-76.4940853 42.4636613, -76.4940612 42.4637013, -76.4940371 42.4637555, -76.4940043 42.4638304, -76.4939819 42.4639111, -76.4939753 42.4639801, -76.4939820 42.4640453, -76.4939983 42.4641105, -76.4940229 42.4641840, -76.4940408 42.4642197, -76.4940686 42.4642535, -76.4941227 42.4642891, -76.4941813 42.4643145, -76.4942511 42.4643356, -76.4943821 42.4643639, -76.4944651 42.4643875, -76.4945215 42.4644070, -76.4945632 42.4644366, -76.4946300 42.4645328, -76.4946765 42.4646060, -76.4946966 42.4646377)",auto,1,0,,
Strawberry Lane,38,20181266,31,29,1,139.43,1,30,1000,residential,6,"LINESTRING (-76.4946966 42.4646377, -76.4946765 42.4646060, -76.4946300 42.4645328, -76.4945632 42.4644366, -76.4945215 42.4644070, -76.4944651 42.4643875, -76.4943821 42.4643639, -76.4942511 42.4643356, -76.4941813 42.4643145, -76.4941227 42.4642891, -76.4940686 42.4642535, -76.4940408 42.4642197, -76.4940229 42.4641840, -76.4939983 42.4641105, -76.4939820 42.4640453, -76.4939753 42.4639801, -76.4939819 42.4639111, -76.4940043 42.4638304, -76.4940371 42.4637555, -76.4940612 42.4637013, -76.4940853 42.4636613)",auto,1,0,,
Strawberry Lane,39,20181266,31,31,1,44.25,1,30,1000,residential,6,"LINESTRING (-76.4946966 42.4646377, -76.4947670 42.4646708, -76.4947918 42.4646871, -76.4948092 42.4647046, -76.4948173 42.4647257, -76.4948199 42.4647455, -76.4948112 42.4647634, -76.4947952 42.4647763, -76.4947777 42.4647837, -76.4947569 42.4647843, -76.4947237 42.4647796, -76.4946984 42.4647679, -76.4946835 42.4647494, -76.4946784 42.4647250, -76.4946802 42.4647039, -76.4946966 42.4646377)",auto,1,0,,
Strawberry Lane,40,20181266,31,31,1,44.25,1,30,1000,residential,6,"LINESTRING (-76.4946966 42.4646377, -76.4946802 42.4647039, -76.4946784 42.4647250, -76.4946835 42.4647494, -76.4946984 42.4647679, -76.4947237 42.4647796, -76.4947569 42.4647843, -76.4947777 42.4647837, -76.4947952 42.4647763, -76.4948112 42.4647634, -76.4948199 42.4647455, -76.4948173 42.4647257, -76.4948092 42.4647046, -76.4947918 42.4646871, -76.4947670 42.4646708, -76.4946966 42.4646377)",auto,1,0,,
Candlewyck Drive,41,20181296,32,33,1,168.51,1,30,1000,residential,6,"LINESTRING (-76.5287400 42.4599950, -76.5286100 42.4600860, -76.5285730 42.4601087, -76.5285120 42.4601460, -76.5284882 42.4601562, -76.5284737 42.4601624, -76.5282981 42.4602371, -76.5282811 42.4602450, -76.5281760 42.4602900, -76.5280826 42.4603215, -76.5280009 42.4603490, -76.5278290 42.4604070, -76.5277250 42.4604310, -76.5276903 42.4604346, -76.5276180 42.4604420, -76.5275090 42.4604480, -76.5274000 42.4604450, -76.5272670 42.4604280, -76.5271460 42.4604070, -76.5270250 42.4603690, -76.5269030 42.4603070)",auto,1,0,,
Candlewyck Drive,42,20181296,33,32,1,168.51,1,30,1000,residential,6,"LINESTRING (-76.5269030 42.4603070, -76.5270250 42.4603690, -76.5271460 42.4604070, -76.5272670 42.4604280, -76.5274000 42.4604450, -76.5275090 42.4604480, -76.5276180 42.4604420, -76.5276903 42.4604346, -76.5277250 42.4604310, -76.5278290 42.4604070, -76.5280009 42.4603490, -76.5280826 42.4603215, -76.5281760 42.4602900, -76.5282811 42.4602450, -76.5282981 42.4602371, -76.5284737 42.4601624, -76.5284882 42.4601562, -76.5285120 42.4601460, -76.5285730 42.4601087, -76.5286100 42.4600860, -76.5287400 42.4599950)",auto,1,0,,
Candlewyck Drive,43,20181296,33,34,1,71.85,1,30,1000,residential,6,"LINESTRING (-76.5269030 42.4603070, -76.5267850 42.4602190, -76.5267050 42.4601480, -76.5266300 42.4600630, -76.5265780 42.4599960, -76.5265650 42.4599560, -76.5265790 42.4599200, -76.5266170 42.4598920, -76.5266700 42.4598830, -76.5267632 42.4599457)",auto,1,0,,
Candlewyck Drive,44,20181296,34,33,1,71.85,1,30,1000,residential,6,"LINESTRING (-76.5267632 42.4599457, -76.5266700 42.4598830, -76.5266170 42.4598920, -76.5265790 42.4599200, -76.5265650 42.4599560, -76.5265780 42.4599960, -76.5266300 42.4600630, -76.5267050 42.4601480, -76.5267850 42.4602190, -76.5269030 42.4603070)",auto,1,0,,
Needham Place,45,20181298,35,36,1,135.9,1,30,1000,residential,6,"LINESTRING (-76.4907180 42.4554210, -76.4908200 42.4554240, -76.4909090 42.4554450, -76.4912430 42.4555810, -76.4914580 42.4556770, -76.4916550 42.4557780, -76.4918070 42.4558700, -76.4919820 42.4559850, -76.4921040 42.4560560)",auto,1,0,,
Needham Place,46,20181298,36,35,1,135.9,1,30,1000,residential,6,"LINESTRING (-76.4921040 42.4560560, -76.4919820 42.4559850, -76.4918070 42.4558700, -76.4916550 42.4557780, -76.4914580 42.4556770, -76.4912430 42.4555810, -76.4909090 42.4554450, -76.4908200 42.4554240, -76.4907180 42.4554210)",auto,1,0,,
,47,20181339,37,38,1,257.86,1,120,2300,motorway,1,"LINESTRING (-76.4791240 42.4815210, -76.4804590 42.4814900, -76.4813070 42.4814830, -76.4818600 42.4814990, -76.4822597 42.4815147)",auto,0,1,,
,48,20181342,39,40,1,73.45,4,120,2300,motorway,1,"LINESTRING (-76.4845030 42.4819690, -76.4844940 42.4818390, -76.4845000 42.4817710, -76.4845160 42.4817080, -76.4845410 42.4816440, -76.4845750 42.4815810, -76.4846170 42.4815220, -76.4846660 42.4814670, -76.4847940 42.4813750)",auto,0,1,,
Inlet Valley Way,49,20181423,41,42,1,958.04,1,30,1000,residential,6,"LINESTRING (-76.5509460 42.4091610, -76.5510540 42.4091780, -76.5513490 42.4092770, -76.5515120 42.4093430, -76.5516160 42.4093770, -76.5516730 42.4093850, -76.5518150 42.4093750, -76.5519360 42.4093280, -76.5524390 42.4091050, -76.5530990 42.4087990, -76.5532080 42.4087570, -76.5532810 42.4087380, -76.5533420 42.4087320, -76.5533990 42.4087360, -76.5534530 42.4087490, -76.5535160 42.4087750, -76.5535610 42.4088010, -76.5536690 42.4088990, -76.5537860 42.4090190, -76.5539250 42.4091840, -76.5541200 42.4094470, -76.5542040 42.4095850, -76.5542340 42.4096790, -76.5542540 42.4098190, -76.5542731 42.4100731, -76.5542784 42.4101442, -76.5543030 42.4104710, -76.5543200 42.4105610, -76.5543440 42.4106230, -76.5543960 42.4107080, -76.5544410 42.4107570, -76.5545020 42.4108010, -76.5545740 42.4108410, -76.5546970 42.4108890, -76.5547810 42.4109060, -76.5549360 42.4109080, -76.5550170 42.4108980, -76.5550960 42.4108830, -76.5555790 42.4107280, -76.5557120 42.4106900, -76.5558270 42.4106620, -76.5559420 42.4106290, -76.5566179 42.4108287, -76.5570591 42.4109590, -76.5598529 42.4117842)",auto,1,0,,
Inlet Valley Way,50,20181423,42,41,1,958.04,1,30,1000,residential,6,"LINESTRING (-76.5598529 42.4117842, -76.5570591 42.4109590, -76.5566179 42.4108287, -76.5559420 42.4106290, -76.5558270 42.4106620, -76.5557120 42.4106900, -76.5555790 42.4107280, -76.5550960 42.4108830, -76.5550170 42.4108980, -76.5549360 42.4109080, -76.5547810 42.4109060, -76.5546970 42.4108890, -76.5545740 42.4108410, -76.5545020 42.4108010, -76.5544410 42.4107570, -76.5543960 42.4107080, -76.5543440 42.4106230, -76.5543200 42.4105610, -76.5543030 42.4104710, -76.5542784 42.4101442, -76.5542731 42.4100731, -76.5542540 42.4098190, -76.5542340 42.4096790, -76.5542040 42.4095850, -76.5541200 42.4094470, -76.5539250 42.4091840, -76.5537860 42.4090190, -76.5536690 42.4088990, -76.5535610 42.4088010, -76.5535160 42.4087750, -76.5534530 42.4087490, -76.5533990 42.4087360, -76.5533420 42.4087320, -76.5532810 42.4087380, -76.5532080 42.4087570, -76.5530990 42.4087990, -76.5524390 42.4091050, -76.5519360 42.4093280, -76.5518150 42.4093750, -76.5516730 42.4093850, -76.5516160 42.4093770, -76.5515120 42.4093430, -76.5513490 42.4092770, -76.5510540 42.4091780, -76.5509460 42.4091610)",auto,1,0,,
,51,20181522,43,44,1,250.52,1,30,1000,residential,6,"LINESTRING (-76.5112890 42.4923940, -76.5114430 42.4924200, -76.5115000 42.4923920, -76.5115550 42.4923510, -76.5116090 42.4922960, -76.5116720 42.4921570, -76.5117009 42.4918191, -76.5117440 42.4913150, -76.5116973 42.4907424, -76.5116914 42.4903435)",auto,1,0,,
,52,20181522,44,43,1,250.52,1,30,1000,residential,6,"LINESTRING (-76.5116914 42.4903435, -76.5116973 42.4907424, -76.5117440 42.4913150, -76.5117009 42.4918191, -76.5116720 42.4921570, -76.5116090 42.4922960, -76.5115550 42.4923510, -76.5115000 42.4923920, -76.5114430 42.4924200, -76.5112890 42.4923940)",auto,1,0,,
Mann Drive,53,20181553,45,46,1,111.93,1,30,1000,residential,6,"LINESTRING (-76.4757251 42.4485107, -76.4753043 42.4485992, -76.4750670 42.4485969, -76.4749353 42.4485957, -76.4747400 42.4485841, -76.4745394 42.4485567, -76.4744608 42.4485437, -76.4743883 42.4485318)",auto,1,0,,
Mann Drive,54,20181553,46,45,1,111.93,1,30,1000,residential,6,"LINESTRING (-76.4743883 42.4485318, -76.4744608 42.4485437, -76.4745394 42.4485567, -76.4747400 42.4485841, -76.4749353 42.4485957, -76.4750670 42.4485969, -76.4753043 42.4485992, -76.4757251 42.4485107)",auto,1,0,,
Walnut Street,55,20181588,47,48,1,180.94,1,24,1000,residential,6,"LINESTRING (-76.4734627 42.4377397, -76.4734697 42.4377998, -76.4734722 42.4378089, -76.4734861 42.4378598, -76.4735075 42.4379057, -76.4738576 42.4383884, -76.4738790 42.4384300, -76.4738882 42.4384736, -76.4739025 42.4389071, -76.4739148 42.4389352, -76.4739420 42.4389578, -76.4739789 42.4389767, -76.4740153 42.4389857, -76.4743293 42.4389754, -76.4743764 42.4389738)",auto,1,0,,
Walnut Street,56,20181588,48,47,1,180.94,1,24,1000,residential,6,"LINESTRING (-76.4743764 42.4389738, -76.4743293 42.4389754, -76.4740153 42.4389857, -76.4739789 42.4389767, -76.4739420 42.4389578, -76.4739148 42.4389352, -76.4739025 42.4389071, -76.4738882 42.4384736, -76.4738790 42.4384300, -76.4738576 42.4383884, -76.4735075 42.4379057, -76.4734861 42.4378598, -76.4734722 42.4378089, -76.4734697 42.4377998, -76.4734627 42.4377397)",auto,1,0,,
,57,20181638,49,50,1,209.48,1,30,1000,residential,6,"LINESTRING (-76.5364140 42.4359870, -76.5364770 42.4378730)",auto,1,0,,
,58,20181638,50,49,1,209.48,1,30,1000,residential,6,"LINESTRING (-76.5364770 42.4378730, -76.5364140 42.4359870)",auto,1,0,,
,59,20181873,51,52,1,180.15,1,30,800,unclassified,15,"LINESTRING (-76.5178112 42.4546484, -76.5176560 42.4546838, -76.5172434 42.4548120, -76.5169010 42.4549150, -76.5167820 42.4549570, -76.5166700 42.4550040, -76.5165660 42.4550640, -76.5165220 42.4550960, -76.5164629 42.4551516, -76.5163520 42.4552560, -76.5161940 42.4554200, -76.5160986 42.4555035, -76.5160580 42.4555390)",auto,1,0,,
,60,20181873,52,51,1,180.15,1,30,800,unclassified,15,"LINESTRING (-76.5160580 42.4555390, -76.5160986 42.4555035, -76.5161940 42.4554200, -76.5163520 42.4552560, -76.5164629 42.4551516, -76.5165220 42.4550960, -76.5165660 42.4550640, -76.5166700 42.4550040, -76.5167820 42.4549570, -76.5169010 42.4549150, -76.5172434 42.4548120, -76.5176560 42.4546838, -76.5178112 42.4546484)",auto,1,0,,
