name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,26,91025381,,warehouse,,,,"POLYGON ((-76.4928354 42.4394736, -76.4928251 42.4396078, -76.492771 42.4396913, -76.4927122 42.4397879, -76.4925874 42.4397623, -76.4925938 42.4396884, -76.4925189 42.4396676, -76.4925725 42.4395448, -76.4926518 42.4395557, -76.492691 42.4394541, -76.4928354 42.4394736))",POINT (-76.4926924 42.4396176),586.0,6308.0
Tompkins County Public Library,27,105869874,,civic,library,,,"POLYGON ((-76.498645 42.438537, -76.4987335 42.438531, -76.4987755 42.4385146, -76.4988044 42.438494, -76.4988215 42.4384725, -76.4988332 42.4384423, -76.4988349 42.438416, -76.4988016 42.4378771, -76.4984373 42.4378889, -76.498387 42.4378688, -76.4983378 42.4378561, -76.4982818 42.4378537, -76.4982368 42.4378563, -76.4981941 42.4378654, -76.4981186 42.437901, -76.4978081 42.4379106, -76.4978438 42.4385684, -76.498645 42.438537))",POINT (-76.4983201 42.4382156),6016.2,64758.2
Cayuga Place Apartments,28,105964060,,apartments,,,,"POLYGON ((-76.4976647 42.4385493, -76.4976412 42.4381196, -76.4973719 42.4381276, -76.4973845 42.4383582, -76.4973592 42.438359, -76.4968933 42.4383728, -76.4969012 42.4385178, -76.4969461 42.4385165, -76.4969491 42.4385707, -76.4973667 42.4385595, -76.4976647 42.4385493))",POINT (-76.4973518 42.4383951),1935.5,20833.5
Seneca Street Garage,29,105964061,,parking,parking,,,"POLYGON ((-76.4967257 42.4409071, -76.496722 42.4408428, -76.4967083 42.440602, -76.4967063 42.4405671, -76.4963754 42.4405774, -76.49586 42.4405935, -76.4958794 42.4409335, -76.4961251 42.4409258, -76.4962275 42.4409226, -76.4965075 42.4409139, -76.4967257 42.4409071))",POINT (-76.4962928 42.4407503),2632.3,28333.6
Cayuga Street Parking Garage,30,105966437,,parking,parking,,,"POLYGON ((-76.4987851 42.4376688, -76.4987525 42.436984, -76.4982868 42.4369961, -76.4983211 42.4377161, -76.49871 42.437706, -76.4987083 42.4376708, -76.4987851 42.4376688))",POINT (-76.4985351 42.4373473),3041.2,32735.2
,31,105966438,,yes,,,,"POLYGON ((-76.4966317 42.4385592, -76.4966159 42.4382603, -76.4963548 42.4383565, -76.496366 42.4385669, -76.4966317 42.4385592))",POINT (-76.4964997 42.4384342),619.0,6662.5
CVS Pharmacy,32,106083339,,retail,pharmacy,,,"POLYGON ((-76.5073586 42.4364569, -76.5068848 42.4364706, -76.5068718 42.4362239, -76.5069268 42.4362223, -76.5069287 42.4362595, -76.5071918 42.436252, -76.5071909 42.4362354, -76.5073799 42.4362299, -76.5073873 42.4363694, -76.5073541 42.4363703, -76.5073586 42.4364569))",POINT (-76.5071265 42.4363515),992.5,10682.9
McGraw House,33,106083340,,apartments,social_facility,,,"POLYGON ((-76.5001154 42.4378346, -76.5001019 42.4375785, -76.5001502 42.4375772, -76.500153 42.4376312, -76.5004597 42.4376224, -76.5004516 42.43747, -76.5001501 42.4374787, -76.5001531 42.4375348, -76.500095 42.4375365, -76.500086 42.4373658, -76.4998705 42.437372, -76.4998953 42.4378409, -76.5001154 42.4378346))",POINT (-76.5000897 42.4375873),1380.2,14856.6
Ithaca City Hall,34,106083342,,government,townhall,,,"POLYGON ((-76.4985994 42.4387402, -76.4986191 42.4390621, -76.4984227 42.4390686, -76.4984029 42.4387468, -76.4985994 42.4387402))",POINT (-76.498511 42.4389044),578.6,6228.0
,35,106086260,,yes,,,,"POLYGON ((-76.4988733 42.4390432, -76.4988819 42.43919, -76.4986414 42.4391978, -76.4986367 42.4390478, -76.4988733 42.4390432))",POINT (-76.4987579 42.4391199),323.7,3483.9
,36,106086261,,yes,,,,"POLYGON ((-76.4981492 42.4391107, -76.4981497 42.4391224, -76.4981651 42.4394705, -76.4984099 42.4394649, -76.4983964 42.4392078, -76.4983942 42.4391047, -76.4981492 42.4391107))",POINT (-76.498279 42.4392878),802.2,8635.2
,37,106086262,,yes,,,,"POLYGON ((-76.4984099 42.4394649, -76.4983964 42.4392078, -76.4986414 42.4391978, -76.498651 42.4394591, -76.4984099 42.4394649))",POINT (-76.498525 42.439332),576.2,6201.7
,38,106086263,,apartments,,,,"POLYGON ((-76.4988621 42.4387316, -76.4988733 42.4390432, -76.4986367 42.4390478, -76.4986256 42.4387362, -76.4988621 42.4387316))",POINT (-76.4987494 42.4388897),673.6,7250.6
,39,106086264,,yes,,,,"POLYGON ((-76.4988819 42.43919, -76.4988929 42.4394541, -76.498651 42.4394591, -76.4986414 42.4391978, -76.4988819 42.43919))",POINT (-76.498767 42.4393254),579.3,6235.1
